title	type	url_slug	venue	date	location	talk_url	description
P and S wave tomography of Southeast Canada: Insights into mantle development and evolution from Archean to Phanerozoic times	talk	CGU	Canadian Geophysical Union	2015-05-07	"Montreal, Canada"		"Whether the tectonic processes seen today at plate boundaries are analogous to those on the young, hotter, more ductile Earth of the early Precambrian is still widely debated. Extensive slab melting and other Archean processes, such as the extraction of komatiitic magmas, caused large-scale lithospheric depletion, resulting in a buoyant cratonic core able to survive multiple Wilson cycles. The cratons are characterized by a thick (>200km), seismically fast keel, which is readily identified on tomographic images. The Laurentian keel beneath North America does not fit easily within the Archean model of formation; the lithospheric root is thought to persist beneath both the Superior craton and the younger Proterozoic Grenville province in southeast Canada, suggesting that keel formation may not have been restricted to Archean times. In order to address this issue we present a P and S wave relative arrival-time tomographic study using data from seismograph networks in SE Canada and the NE US, stretching from the southern tip of Hudson Bay within the Superior craton to the coastal Phanerozoic Appalachian terranes. The tomographic images display three broad zones of increasing mantle wavespeed from globally Òslow"" in the Appalachian terranes, to a Òfast"" Grenville Province and Òextremely fast"" Superior craton. We observe a linear low-velocity feature resulting from modification of the Laurentian keel by the passage of the Great Meteor hotspot. This feature is progressively offset southwestward with depth, potentially due to viscous coupling with mantle flow. No major plate-scale underthrusting during the Grenville Orogeny is apparent, in contrast to the Trans-Hudson and present-day Himalayan orogen. Our results support the developing consensus that keels form in two stages: a chemically depleted core of Archean age followed by a thermally developed, less-depleted lithosphere during Proterozoic times, highlighted by an abrupt wavespeed contrast in the tomographic images."
P and S Wave Tomography of Southeast Canada: Insights into Mantle Development and Evolution from Archean to Phanerozoic Times 	talk	BGA_PGRiP	National Oceanography centre	2015-09-10	"Southampton, UK"		"Whether the tectonic processes seen today at plate boundaries are analogous to those on the young, hotter, more ductile Earth of the early Precambrian is still widely debated. Extensive slab melting and other Archean processes, such as the extraction of komatiitic magmas, caused large-scale lithospheric depletion, resulting in a buoyant cratonic core able to survive multiple Wilson cycles. The cratons are characterized by a thick (>200 km), seismically fast keel, which is readily identified on tomographic images. The Laurentian keel beneath North America does not fit easily within the Archean model of formation; the lithospheric root is thought to persist beneath both the Superior craton and the younger Proterozoic Grenville province in southeast Canada, suggesting that keel formation may not have been restricted to Archean times. In order to address this issue we present a P and S wave relative arrival-time tomographic study using data from seismograph networks in SE Canada and the NE US, stretching from the southern tip of Hudson Bay within the Superior craton to the coastal Phanerozoic Appalachian terranes. The tomographic images display three broad zones of increasing mantle wavespeed from globally ÒslowÓ in the Appalachian terranes, to a ÒfastÓ Grenville Province and Òextremely fastÓ Superior craton. We observe a linear low-velocity feature resulting from modification of the Laurentian keel by the passage of the Great Meteor hotspot. This feature is progressively offset southwestward with depth, potentially due to viscous coupling with mantle flow. No major plate-scale underthrusting during the Grenville Orogeny is apparent, which contradicts the inferred results from crustal seismic reflection and refraction studies. Our results support the developing consensus that keels form in two stages: a chemically depleted core of Archean age followed by a thermally developed, less-depleted lithosphere during Proterozoic times, highlighted by an abrupt wavespeed contrast in the tomographic images."
Subduction Beneath Laurentia Modified the North American Craton Edge: Evidence from P and S-wave Tomography 	poster	AGU	American Geophysical Union	2015-12-14	"San Francisco, US"		"Cratons, the ancient cores of the continents, are the longest-lived parts of Earth's surface that have survived thermal and mechanical erosion during multiple Wilson cycles. They are visible in tomographic images due to their thick (>200km), seismically fast keels or roots. The Laurentian keel beneath North America is intriguing since its root is thought to extend beneath both the Archean Superior craton and the Proterozoic Grenville province thus implying that keel formation may not have been restricted to Archean times. In order to address this issue we present a P and S wave relative arrival-time tomographic study using data from seismograph networks in SE Canada and the NE US, stretching from the southern tip of Hudson Bay within the Superior craton to the coastal Phanerozoic Appalachian terranes. The tomographic images display three broad zones of increasing mantle wavespeed from globally Òslow"" in the Appalachian terranes, to a Òfast"" Grenville Province and Òextremely fast"" Superior craton. We observe a linear low-velocity feature resulting from modification of the Laurentian keel by the passage of the Great Meteor hotspot. This feature is progressively offset southwestward with depth, potentially due to viscous coupling with mantle flow. No major plate-scale underthrusting during the Grenville Orogeny is apparent, which contradicts the inferred results from crustal seismic reflection and refraction studies. Our result therefore may have fundamental implications for the nature of the Grenville orogenic collision and cratonic stabilization of North America The results also support the developing consensus that keels form in two stages: a chemically depleted core of Archean age followed by a thermally developed, less-depleted lithosphere during Proterozoic times, highlighted by an abrupt wavespeed contrast in the tomographic images.Ê"
Imaging the Earth's interior: Unexpected uses of Earthquakes	talk [invited]	IC_Maths	Imperial College Maths department	2016-02-18	"London, UK"		
From cratonic modification to asthenospheric interaction: Body wave tomography of the North American cratonic margin	poster	BGA_PGRiP	University College London	2016-09-01	"London, UK"		"The most stable, long-lived features on Earth are cratons. They form the cores of the continents that resist the destructive forces of plate tectonics due to their thick (~250km) cold, buoyant, chemically-depleted lithospheric keels. Keels are readily identifiable in seismic tomographic images due to their fast wavespeed, but their formation and long-term stability remains under scrutiny. To address this issue, I have used P- and S-wave relative arrival-time tomography in southeast Canada, a region that stretches from the Archean Superior Province to the Phanerozoic Appalachians Mountains at the Atlantic coast. The tomographic images display three broad zones of increasing mantle wavespeed from globally Òslow"""" in the Appalachian terranes, to a Òfast"""" Grenville Province and Òextremely fast"""" Superior craton. The decrease in seismic wavespeed from Archean to Proterozoic domains across the Grenville Front is consistent with models of two-stage keel formation, supporting the idea that keel growth may not have been restricted to Archean times. However, while crustal structure studies suggest that Archean Superior material underlies Grenvillian-age rocks up to ~300km SE of the Grenville Front, our tomographic models show a near-vertical boundary in mantle wavespeed directly beneath the Grenville Front. We interpret this as evidence for subduction-driven metasomatic enrichment of the Laurentian cratonic margin, prior to keel stabilization. Variable chemical depletion levels across Archean-Proterozoic boundaries worldwide, may thus be better explained by metasomatic enrichment of Archean material than an inherently less-depleted Proterozoic composition at formation. The challenge now is to embed regional tomographic models for Canada in global scale models that better- constrain absolute wavespeed variations. I am doing this using the method of Li et al (2008). This is enabling me to look deeper into the mantle, and for the first time in this region, study the extent of the Farallon slab and lithosphere-asthenosphere interaction. "
Tectonic processes bounding the Superior Craton: Body wave tomography of the North American shield	poster	AGU	American Geophysical Union	2016-12-12	"San Francisco, US"	https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/130233	"Cratons are EarthÕs primordial geological features. They are thought to have withstood multiple Wilson cycles over their >2.5Ga history, in part, due to their thick lithospheric keels that are buoyant, strong and chemically depleted. Recent studies have shown that cratons may not be entirely indestructible however and often display post-formation modification signatures, particularly at their margins. The Superior craton of SE Canada is an ideal locality for study as within a few hundred kilometers, one encounters geology that spans three quarters of EarthÕs history. Whilst lithospheric keels are characterized by high seismic wavespeeds, younger tectonic processes may also manifest in present-day wavespeed variations and thus are detectable seismically. Here we combine the latest USArray dataset with data from permanent stations in SE Canada by using a uniquely developed data processing tool, to reliably convert relative to absolute arrival-times. Our data is set within the high-resolution continental portion of the global tomographic inversion of Burdick et. al., (2014). This affords a well-refined mantle model beneath SE Canada, a region that has traditionally lacked station coverage. Our tomographic model shows a sharp craton edge beneath the Grenville Front, suggesting that the North American craton was modified by subduction zone interaction. Consequently, post formation modification rather than variation in iron depletion levels at the time of formation may better-explain variations in wavespeed between Archean and Proterozoic terranes worldwide. Global constraints provide improved resolution in the deeper mantle, thus we are able to reliably map the extent of Farallon slab beneath SE Canada for the first time. We also may image the SW shift in the base of the North American craton, supporting the view that cratons are not entirely stagnant features over geological time and that present day asthenospheric flow can impact the evolution of cratonic keels."
New Insights into the Geological Processes that Formed Eastern North America derived from a cutting-edge Seismological Imaging Technique	talk	SSCP_DTP	Frontiers in Natural Environment Research 	2017-08-25	"London, UK"		"The cores of the continents are known as the cratons. These extremely stable parts of EarthÕs surface are often over 2 billion years old and thus have survived multiple plate tectonic cycles (Wilson cycles) that successively form and destroy supercontinents. These regions are bordered by geologically younger Òmobile beltsÓ, which shield the stable cratons from collisions with other tectonic plates. The 1 billion year old Grenville Province of North America stretches from northeastern Canada to Mexico and forms the bounding terrain to the east of the largest craton on Earth, the Superior. This has been favourably compared to the modern-day mountain building events (orogenesis) that are forming the Himalayas as India collides with Tibet to the north. Many local-scale geological and geophysical studies have proposed theories for the formation and subsequent evolution of the Grenville Province, yet little consensus exists. However, the recent deployment the USArray transportable array of seismograph stations and developments in processing techniques enabling the inclusion of data from small seismic networks in continental to global studies (Boyce et. al., 2017) means that we are able to seismically illuminate, for the first time, the mantle wavespeed structure for the entire footprint of the Grenville Orogen. Using these images it will be possible to understand better how the Grenville Orogen formed during the collision of Amazonia and Laurentia at 1Ga, more specifically, which tectonic processes were dominant. Recent work worldwide has shown that these Òstable regionsÓ can in fact undergo post-formation modification. Evidence for this exists in SE Canada however it has as of yet not been observed along the entire eastern margin of North America. This work aims to uncover these signatures of modification and unify competing theories for the formation and evolution of eastern North America."
Insights into the tectonics of the Eastern North American Shield at the Macro-scale: A new Absolute P-wave Tomographic Model for North America.	talk	BGA_PGRiP	University of Aberdeen	2017-08-31	"Aberdeen, Scotland"		"The Grenville orogen is a 1Ga old, 4000km long tectonic collision zone that bounds the North American Shield to the east, often drawing comparisons to the modern-day Himalayas in collisional style and extent. Local studies of the Grenville province are legion, however it remains enigmatic at the macro scale due to its large spatial footprint (from Labrador to Mexico), interaction with Phanerozoic tectonics and present-day sedimentary cover. Recently, the USArray Transportable Array seismic stations have gone someway to addressing this issue but station coverage remains sparse in global absolute wavespeed models in the shield regions further north. However, the newly published method of Boyce et. al., (2017) enables data from regional seismic networks to be incorporated into these global models. Here we use this method to add ~13000 new P-wave arrivals from stations in Canada to the continental portion of the global absolute wavespeed tomographic model of Burdick et. al., (2017). Thus we are able to seismically illuminate, for the first time, mantle seismic structure for the entire footprint of the Grenville Orogen. Recent work suggests that in SE Canada the edge of the Superior craton has undergone post formation modification. Using these images it will be possible to investigate whether craton edge modification is ubiquitous along the entire Grenville front and whether oblique or direct Òhead-onÓ shortening was dominant during the collision of Laurentia and Amazonia at ~1Ga. Through further comparison with the GLimER 2D receiver function profiles (Rondenay et. al., 2017), we aim to unify theories from local scale studies for evolution of the eastern portion of stable North America. Furthermore, we will be able to constrain the morphology of the North American keel and assess to what extent this may influence present day asthenospheric flow fields and the resulting implications for modification of the cratonic root."
Insights into the Tectonics of the Eastern North American Shield: A new Absolute P-wave Tomographic Model for North America	talk [invited]	Oxford_Seismology	University of Oxford	2017-12-06	"Oxford, UK"		"The Grenville orogen is a 1Ga old, 4000km long tectonic collision zone that bounds the North American Shield to the east, often drawing comparisons to the modern-day Himalayas in collisional style and extent. Local studies of the Grenville province are legion, however it remains enigmatic at the macro scale due to its large spatial footprint (from Labrador to Mexico), interaction with Phanerozoic tectonics and present-day sedimentary cover. Recently, the USArray Transportable Array seismic stations have gone someway to addressing this issue but station coverage remains sparse in global absolute wavespeed models in the shield regions further north. However, the newly published method of Boyce et al, (2017) enables data from regional seismic networks to be incorporated into these global models. Here we use this method to add ~13000 new P-wave arrivals from stations in Canada to the continental portion of the global absolute wavespeed tomographic model of Burdick et al (2017). Thus we are able to seismically illuminate, for the first time, mantle seismic structure for the entire footprint of the Grenville Orogen. Recent work suggests that in SE Canada the edge of the Superior craton has undergone post formation modification. Variations in seismic velocity at lithospheric depths at the eastern edge of the North American shield may give clues as to whether craton edge modification is ubiquitous along the entire Grenville front. Comparing our tomographic images with the GLimER 2D receiver function profiles (Rondenay et al., 2017) and tectonic reconstructions of Proterozoic North America may provide evidence for delamination of sub-continental lithospheric mantle in an ancient large hot Orogen."
Macro-scale Tectonics of the Eastern North American Shield: Insights from a new Absolute P-wave Tomographic Model for North America.	talk	AGU_NEUSA	American Geophysical Union	2017-12-14	"New Orleans, US"	https://agu.confex.com/agu/fm17/meetingapp.cgi/Paper/214245	"The Grenville orogen is a 1Ga old, 4000km long tectonic collision zone that bounds the North American Shield to the east, often drawing comparisons to the modern-day Himalayas in collisional style and extent. Local studies of the Grenville province are legion, however it remains enigmatic at the macro scale due to its large spatial footprint (from Labrador to Mexico), interaction with Phanerozoic tectonics and present-day sedimentary cover. Recently, the USArray Transportable Array seismic stations have gone someway to addressing this issue but station coverage remains sparse in global absolute wavespeed models in the shield regions further north. However, the newly published method of Boyce et. al., (2017) enables data from regional seismic networks to be incorporated into these global models. Here we use this method to add ~13000 new P-wave arrivals from stations in Canada to the continental portion of the global absolute wavespeed tomographic model of Burdick et. al., (2017). Thus we are able to seismically illuminate, for the first time, mantle seismic structure for the entire footprint of the Grenville Orogen. Recent work suggests that in SE Canada the edge of the Superior craton has undergone post formation modification. Using these images it will be possible to investigate whether craton edge modification is ubiquitous along the entire Grenville front and whether oblique or direct Òhead-onÓ shortening was dominant during the collision of Laurentia and Amazonia at ~1Ga. Through further comparison with the GLimER 2D receiver function profiles (Rondenay et. al., 2017), we aim to unify theories from local scale studies for evolution of the eastern portion of stable North America. Furthermore, we will be able to constrain the morphology of the North American keel and assess to what extent this may influence present day asthenospheric flow fields and the resulting implications for modification of the cratonic root."
